,aqi,city,code,indicator,level,time
0,53,北京市,110000,颗粒物(PM10),良,2018-06-15 22:00:00
1,57,天津市,120000,细颗粒物(PM2.5),良,2018-06-15 22:00:00
2,70,石家庄市,130100,"颗粒物(PM10),臭氧1小时",良,2018-06-15 22:00:00
3,65,唐山市,130200,细颗粒物(PM2.5),良,2018-06-15 22:00:00
4,39,秦皇岛市,130300,,优,2018-06-15 22:00:00
5,63,邯郸市,130400,颗粒物(PM10),良,2018-06-15 22:00:00
6,62,邢台市,130500,颗粒物(PM10),良,2018-06-15 22:00:00
7,76,保定市,130600,颗粒物(PM10),良,2018-06-15 22:00:00
8,74,承德市,130800,细颗粒物(PM2.5),良,2018-06-15 22:00:00
9,52,沧州市,130900,颗粒物(PM10),良,2018-06-15 22:00:00
10,56,廊坊市,131000,颗粒物(PM10),良,2018-06-15 22:00:00
11,59,衡水市,131100,颗粒物(PM10),良,2018-06-15 22:00:00
12,107,张家口市,131200,细颗粒物(PM2.5),轻度污染,2018-06-15 22:00:00
13,173,太原市,140100,细颗粒物(PM2.5),中度污染,2018-06-15 22:00:00
14,68,大同市,140200,颗粒物(PM10),良,2018-06-15 22:00:00
15,107,阳泉市,140300,臭氧1小时,轻度污染,2018-06-15 22:00:00
16,119,长治市,140400,臭氧1小时,轻度污染,2018-06-15 22:00:00
17,128,晋城市,140500,臭氧1小时,轻度污染,2018-06-15 22:00:00
18,94,朔州市,140600,臭氧1小时,良,2018-06-15 22:00:00
19,108,晋中市,140700,细颗粒物(PM2.5),轻度污染,2018-06-15 22:00:00
20,74,运城市,140800,臭氧1小时,良,2018-06-15 22:00:00
21,114,忻州市,140900,细颗粒物(PM2.5),轻度污染,2018-06-15 22:00:00
22,101,临汾市,141000,臭氧1小时,轻度污染,2018-06-15 22:00:00
23,62,吕梁市,141100,细颗粒物(PM2.5),良,2018-06-15 22:00:00
24,70,呼和浩特市,150100,颗粒物(PM10),良,2018-06-15 22:00:00
25,69,包头市,150200,颗粒物(PM10),良,2018-06-15 22:00:00
26,69,乌海市,150300,颗粒物(PM10),良,2018-06-15 22:00:00
27,73,赤峰市,150400,细颗粒物(PM2.5),良,2018-06-15 22:00:00
28,53,通辽市,150500,颗粒物(PM10),良,2018-06-15 22:00:00
29,72,鄂尔多斯市,150600,颗粒物(PM10),良,2018-06-15 22:00:00
30,19,呼伦贝尔市,150700,,优,2018-06-15 22:00:00
31,78,巴彦淖尔市,150800,颗粒物(PM10),良,2018-06-15 22:00:00
32,60,乌兰察布市,150900,臭氧1小时,良,2018-06-15 22:00:00
33,37,兴安盟,152200,,优,2018-06-15 22:00:00
34,164,锡林郭勒盟,152500,颗粒物(PM10),中度污染,2018-06-15 22:00:00
35,101,阿拉善盟,152900,颗粒物(PM10),轻度污染,2018-06-15 22:00:00
36,27,沈阳市,210100,,优,2018-06-15 22:00:00
37,32,大连市,210200,,优,2018-06-15 22:00:00
38,38,瓦房店市,210281,,优,2018-06-15 22:00:00
39,32,鞍山市,210300,,优,2018-06-15 22:00:00
40,26,抚顺市,210400,,优,2018-06-15 22:00:00
41,31,本溪市,210500,,优,2018-06-15 22:00:00
42,36,丹东市,210600,,优,2018-06-15 22:00:00
43,50,锦州市,210700,,优,2018-06-15 22:00:00
44,34,营口市,210800,,优,2018-06-15 22:00:00
45,38,阜新市,210900,,优,2018-06-15 22:00:00
46,31,辽阳市,211000,,优,2018-06-15 22:00:00
47,35,盘锦市,211100,,优,2018-06-15 22:00:00
48,33,铁岭市,211200,,优,2018-06-15 22:00:00
49,47,朝阳市,211300,,优,2018-06-15 22:00:00
50,44,葫芦岛市,211400,,优,2018-06-15 22:00:00
51,41,长春市,220100,,优,2018-06-15 22:00:00
52,28,吉林市,220200,,优,2018-06-15 22:00:00
53,45,四平市,220300,,优,2018-06-15 22:00:00
54,21,辽源市,220400,,优,2018-06-15 22:00:00
55,24,通化市,220500,,优,2018-06-15 22:00:00
56,44,白山市,220600,,优,2018-06-15 22:00:00
57,51,松原市,220700,颗粒物(PM10),良,2018-06-15 22:00:00
58,42,白城市,220800,,优,2018-06-15 22:00:00
59,17,延边州,222400,,优,2018-06-15 22:00:00
60,24,哈尔滨市,230100,,优,2018-06-15 22:00:00
61,38,齐齐哈尔市,230200,,优,2018-06-15 22:00:00
62,16,鸡西市,230300,,优,2018-06-15 22:00:00
63,23,鹤岗市,230400,,优,2018-06-15 22:00:00
64,24,双鸭山市,230500,,优,2018-06-15 22:00:00
65,35,大庆市,230600,,优,2018-06-15 22:00:00
66,21,伊春市,230700,,优,2018-06-15 22:00:00
67,24,佳木斯市,230800,,优,2018-06-15 22:00:00
68,27,七台河市,230900,,优,2018-06-15 22:00:00
69,17,牡丹江市,231000,,优,2018-06-15 22:00:00
70,15,黑河市,231100,,优,2018-06-15 22:00:00
71,26,绥化市,231200,,优,2018-06-15 22:00:00
72,18,大兴安岭地区,232700,,优,2018-06-15 22:00:00
73,40,上海市,310000,,优,2018-06-15 22:00:00
74,44,南京市,320100,,优,2018-06-15 22:00:00
75,57,无锡市,320200,颗粒物(PM10),良,2018-06-15 22:00:00
76,49,江阴市,320281,,优,2018-06-15 22:00:00
77,42,宜兴市,320282,,优,2018-06-15 22:00:00
78,62,徐州市,320300,颗粒物(PM10),良,2018-06-15 22:00:00
79,36,常州市,320400,,优,2018-06-15 22:00:00
80,47,溧阳市,320481,,优,2018-06-15 22:00:00
81,58,金坛市,320482,颗粒物(PM10),良,2018-06-15 22:00:00
82,47,苏州市,320500,,优,2018-06-15 22:00:00
83,43,常熟市,320581,,优,2018-06-15 22:00:00
84,48,张家港市,320582,,优,2018-06-15 22:00:00
85,40,昆山市,320583,,优,2018-06-15 22:00:00
86,40,吴江市,320584,,优,2018-06-15 22:00:00
87,41,太仓市,320585,,优,2018-06-15 22:00:00
88,46,南通市,320600,,优,2018-06-15 22:00:00
89,34,海门市,320684,,优,2018-06-15 22:00:00
90,42,连云港市,320700,,优,2018-06-15 22:00:00
91,52,淮安市,320800,颗粒物(PM10),良,2018-06-15 22:00:00
92,38,盐城市,320900,,优,2018-06-15 22:00:00
93,58,扬州市,321000,颗粒物(PM10),良,2018-06-15 22:00:00
94,51,镇江市,321100,颗粒物(PM10),良,2018-06-15 22:00:00
95,57,句容市,321183,颗粒物(PM10),良,2018-06-15 22:00:00
96,42,泰州市,321200,,优,2018-06-15 22:00:00
97,50,宿迁市,321300,,优,2018-06-15 22:00:00
98,40,杭州市,330100,,优,2018-06-15 22:00:00
99,33,富阳市,330183,,优,2018-06-15 22:00:00
100,39,临安市,330185,,优,2018-06-15 22:00:00
101,35,宁波市,330200,,优,2018-06-15 22:00:00
102,38,温州市,330300,,优,2018-06-15 22:00:00
103,36,嘉兴市,330400,,优,2018-06-15 22:00:00
104,28,湖州市,330500,,优,2018-06-15 22:00:00
105,,诸暨市,330681,,,2018-06-15 22:00:00
106,56,金华市,330700,颗粒物(PM10),良,2018-06-15 22:00:00
107,40,义乌市,330782,,优,2018-06-15 22:00:00
108,62,衢州市,330800,颗粒物(PM10),良,2018-06-15 22:00:00
109,36,舟山市,330900,,优,2018-06-15 22:00:00
110,33,台州市,331000,,优,2018-06-15 22:00:00
111,40,丽水市,331100,,优,2018-06-15 22:00:00
112,43,绍兴市,331300,,优,2018-06-15 22:00:00
113,57,合肥市,340100,颗粒物(PM10),良,2018-06-15 22:00:00
114,53,芜湖市,340200,颗粒物(PM10),良,2018-06-15 22:00:00
115,68,蚌埠市,340300,臭氧1小时,良,2018-06-15 22:00:00
116,60,淮南市,340400,颗粒物(PM10),良,2018-06-15 22:00:00
117,53,马鞍山市,340500,颗粒物(PM10),良,2018-06-15 22:00:00
118,94,淮北市,340600,臭氧1小时,良,2018-06-15 22:00:00
119,59,铜陵市,340700,颗粒物(PM10),良,2018-06-15 22:00:00
120,97,安庆市,340800,臭氧1小时,良,2018-06-15 22:00:00
121,62,黄山市,341000,颗粒物(PM10),良,2018-06-15 22:00:00
122,57,滁州市,341100,颗粒物(PM10),良,2018-06-15 22:00:00
123,60,阜阳市,341200,颗粒物(PM10),良,2018-06-15 22:00:00
124,78,宿州市,341300,臭氧1小时,良,2018-06-15 22:00:00
