,aqi,city,indicator,level,time
0,64,长沙市,颗粒物(PM10),良,2018-06-15 22:00:00
1,62,长沙市,颗粒物(PM10),良,2018-06-15 21:00:00
2,58,长沙市,颗粒物(PM10),良,2018-06-15 20:00:00
3,70,长沙市,臭氧1小时,良,2018-06-15 19:00:00
4,88,长沙市,臭氧1小时,良,2018-06-15 18:00:00
5,92,长沙市,臭氧1小时,良,2018-06-15 17:00:00
6,103,长沙市,臭氧1小时,轻度污染,2018-06-15 16:00:00
7,104,长沙市,臭氧1小时,轻度污染,2018-06-15 15:00:00
8,105,长沙市,臭氧1小时,轻度污染,2018-06-15 14:00:00
9,104,长沙市,臭氧1小时,轻度污染,2018-06-15 13:00:00
10,89,长沙市,臭氧1小时,良,2018-06-15 12:00:00
11,65,长沙市,细颗粒物(PM2.5),良,2018-06-15 11:00:00
12,69,长沙市,细颗粒物(PM2.5),良,2018-06-15 10:00:00
13,75,长沙市,细颗粒物(PM2.5),良,2018-06-15 09:00:00
14,78,长沙市,细颗粒物(PM2.5),良,2018-06-15 08:00:00
15,79,长沙市,细颗粒物(PM2.5),良,2018-06-15 07:00:00
16,82,长沙市,细颗粒物(PM2.5),良,2018-06-15 06:00:00
17,80,长沙市,细颗粒物(PM2.5),良,2018-06-15 05:00:00
18,77,长沙市,细颗粒物(PM2.5),良,2018-06-15 04:00:00
19,70,长沙市,细颗粒物(PM2.5),良,2018-06-15 03:00:00
20,68,长沙市,细颗粒物(PM2.5),良,2018-06-15 02:00:00
21,67,长沙市,细颗粒物(PM2.5),良,2018-06-15 01:00:00
22,68,长沙市,细颗粒物(PM2.5),良,2018-06-15 00:00:00
